ID,name,description
257ed02a-88cc-41f6-a1a0-0972fdfbecba,SHIELD,"Strategic Homeland Intervention, Enforcement, and Logistics Division"
df2d26c3-a53d-4f15-bc6e-9eff37bc89a1,Nova Corps,A group of intergalactic police officers empowered by the Nova Force
87eb666e-d467-4a53-bc57-793072d369a2,SWORD,Sentient Weapon Observation and Response Division
10b034d9-6b72-4f42-bdbd-956d6d485161,The Watchers,Non-interference beings who observe the events of the universe
f7f8f767-eb49-47ef-b8d0-43b708a96517,The Celestials,Ancient cosmic entities with immense power and influence
49c032c9-18ad-419c-a241-ea8e308882d3,The Brood,An insectoid alien race often in conflict with the X-Men
77beec7a-e33c-44de-93de-a1338f1e5b50,The Guardians of the Galaxy,A group of cosmic heroes who protect the universe from various threats
e0ff3efb-c37f-4df8-b948-9d430b77ec8c,The Shiar Empire,A powerful alien empire with a vast interstellar territory
6d25c5ad-0c2f-4630-8fc4-4f95595e67a8,The Skrull Empire,Shapeshifting aliens engaged in a long-standing conflict with the Kree
73657c21-2f03-41cc-ab54-f989b772d7f4,The Kree Empire,An advanced militaristic alien race with a vast interstellar empire